Player,Team,Pos,Games,G,A,Pts,plusminus,SOG,PPG,PPA,PPP,Hits,BS,FP,FPGP
Anders Lee,NYI,C,40,11,12,23,4,94,1,3,4,78,26,152.6,3.815
Andre Burakovsky,COL,LW,39,13,12,25,-2,75,1,7,8,13,24,118.5,3.038461538
Andreas Athanasiou,DET,C,36,5,14,19,-35,88,1,4,5,23,19,86.7,2.408333333
Andreas Englund,OTT,D,9,0,2,2,-3,4,0,0,0,23,6,18.6,2.066666667
Andreas Johnsson,TOR,LW,30,6,10,16,2,66,4,1,5,30,13,91.9,3.063333333
Andrei Svechnikov,CAR,RW,42,18,23,41,13,115,5,10,15,69,18,211,5.023809524
Andrej Sekera,DAL,D,38,2,5,7,9,40,0,0,0,25,58,78,2.052631579
Andrew Agozzino,PIT,LW,1,0,0,0,-1,0,0,0,0,1,0,0,0
Andrew Cogliano,DAL,LW,41,2,6,8,1,38,0,0,0,52,19,69.2,1.687804878
Andrew Copp,WPG,C,34,5,9,14,0,66,0,0,0,35,14,83.9,2.467647059
Andrew Ladd,NYI,LW,1,0,0,0,0,1,0,0,0,5,0,2.9,2.9
Andrew Mangiapane,CGY,LW,42,8,7,15,0,52,0,0,0,43,11,85.8,2.042857143
Andrew Peeke,CLS,D,7,0,1,1,3,3,0,0,0,12,9,15.2,2.171428571
Andrew Shaw,CHI,C,26,3,7,10,-4,46,1,1,2,74,9,82.9,3.188461538
Andy Andreoff,PHI,C,13,0,1,1,-2,13,0,0,0,20,4,18.2,1.4
Andy Greene,NJ,D,37,0,5,5,0,32,0,0,0,22,86,76.8,2.075675676
Anthony Beauvillier,NYI,LW,40,10,13,23,1,74,2,3,5,47,21,125.1,3.1275
Anthony Bitetto,WPG,D,32,0,4,4,2,41,0,0,0,92,31,86.9,2.715625
Anthony Cirelli,TB,C,40,9,18,27,10,68,1,2,3,49,27,136.2,3.405
Anthony DeAngelo,NYR,D,41,8,21,29,3,84,2,7,9,31,27,139.1,3.392682927
Anthony Duclair,OTT,LW,41,21,11,32,-2,123,5,2,7,38,25,171.7,4.187804878
Anthony Mantha,DET,RW,29,12,12,24,-9,95,4,2,6,34,18,125.5,4.327586207
Anthony Richard,NSH,C,1,0,0,0,-1,2,0,0,0,0,0,0.3,0.3
Antoine Roussel,VAN,LW,14,5,2,7,2,21,0,1,1,22,5,42.9,3.064285714
