Player,Age,Tm,GP,GS,W,L,T/O,GA,SA,SV,SV%,GAA,SO,GPS,MIN,QS,QS%,RBS,GA%-,GSAA,G,A,PTS,PIM
Jake Allen,28,STL,46,45,19,17,8,121,1277,1156,0.905,2.83,3,6.5,2568,25,0.556,11,105,-5.9,0,0,0,0
Frederik Andersen,29,TOR,60,60,36,16,7,162,1958,1796,0.917,2.77,1,12.5,3510,38,0.633,7,92,14.48,0,1,1,2
Craig Anderson,37,OTT,50,47,17,27,4,163,1676,1513,0.903,3.51,2,8.1,2785,19,0.404,8,108,-11.94,0,2,2,0
Richard Bachman,31,VAN,1,1,0,1,0,6,29,23,0.793,6,0,-0.2,60,0,0,1,,,0,0,0,0
Jonathan Bernier,30,DET,35,30,9,18,5,98,1025,927,0.904,3.16,1,5.1,1860,13,0.433,5,106,-5.61,0,0,0,0
Jordan Binnington,25,STL,32,30,24,5,1,59,807,748,0.927,1.89,5,6,1876,20,0.667,1,81,13.74,0,0,0,0
Ben Bishop,32,DAL,46,45,27,15,2,87,1323,1236,0.934,1.98,7,10.8,2637,31,0.689,1,73,32.24,0,2,2,2
MacKenzie Blackwood,22,NJD,23,21,10,10,0,55,669,614,0.918,2.61,2,4.3,1264,14,0.667,4,91,5.3,0,0,0,0
Sergei Bobrovsky,30,CBJ,62,61,37,24,1,153,1756,1603,0.913,2.58,9,10.4,3557,31,0.508,13,97,5.27,0,0,0,2
Landon Bow,23,DAL,2,0,0,0,0,1,19,18,0.947,1.03,0,0.2,58,0,,0,,,0,0,0,0
Kevin Boyle,26,ANA,5,4,1,3,0,10,139,129,0.928,2.17,1,1,277,2,0.5,0,,,0,0,0,0
