Name,Team,Pos,Games,G,GPG,A,APG,Pts,ptsPG,PLMI,PLMIPG,PIM,PIMPG,SOG,SOGPG,GWG,PPG,PPGPG,PPA,PPAPG,PPP,PPPPG,SHG,SHGPG,SHA,SHAPG,Hits,HitsPG,BS,BSPG
Adrian Kempe,LA,C,81,12,0.148148148,16,0.197530864,28,0.345679012,-10,-0.12345679,50,0.617283951,118,1.456790123,2,0,0,4,0.049382716,4,0.049382716,0,0,0,0,86,1.061728395,21,0.259259259
Jordan Staal,CAR,C,50,11,0.22,17,0.34,28,0.56,6,0.12,26,0.52,121,2.42,1,0,0,2,0.04,2,0.04,0,0,0,0,122,2.44,18,0.36
Patrick Maroon,TB,LW,74,10,0.135135135,18,0.243243243,28,0.378378378,-3,-0.040540541,64,0.864864865,118,1.594594595,3,2,0.027027027,9,0.121621622,11,0.148648649,0,0,0,0,135,1.824324324,7,0.094594595
Colton Parayko,STL,D,80,10,0.125,18,0.225,28,0.35,20,0.25,15,0.1875,176,2.2,3,4,0.05,4,0.05,8,0.1,0,0,1,0.0125,127,1.5875,157,1.9625
Lucas Wallmark,CAR,C,81,10,0.12345679,18,0.222222222,28,0.345679012,-8,-0.098765432,36,0.444444444,131,1.617283951,4,2,0.024691358,5,0.061728395,7,0.086419753,0,0,0,0,82,1.012345679,39,0.481481481
Zack Smith,CHI,C,70,9,0.128571429,19,0.271428571,28,0.4,-6,-0.085714286,81,1.157142857,101,1.442857143,1,0,0,0,0,0,0,1,0.014285714,2,0.028571429,136,1.942857143,27,0.385714286
Dominik Simon,PIT,C,71,8,0.112676056,20,0.281690141,28,0.394366197,8,0.112676056,18,0.253521127,121,1.704225352,0,1,0.014084507,2,0.028169014,3,0.042253521,0,0,0,0,89,1.253521127,19,0.267605634
Charlie McAvoy,BOS,D,54,7,0.12962963,21,0.388888889,28,0.518518519,14,0.259259259,45,0.833333333,79,1.462962963,3,1,0.018518519,1,0.018518519,2,0.037037037,0,0,1,0.018518519,92,1.703703704,91,1.685185185
Hampus Lindholm,ANH,D,76,6,0.078947368,22,0.289473684,28,0.368421053,-5,-0.065789474,44,0.578947368,125,1.644736842,0,1,0.013157895,5,0.065789474,6,0.078947368,0,0,1,0.013157895,81,1.065789474,133,1.75
Oscar Klefbom,EDM,D,61,5,0.081967213,23,0.37704918,28,0.459016393,-11,-0.180327869,16,0.262295082,167,2.737704918,2,1,0.016393443,10,0.163934426,11,0.180327869,0,0,0,0,44,0.721311475,102,1.672131148
Brent Seabrook,CHI,D,78,5,0.064102564,23,0.294871795,28,0.358974359,-6,-0.076923077,41,0.525641026,165,2.115384615,1,2,0.025641026,8,0.102564103,10,0.128205128,0,0,1,0.012820513,124,1.58974359,180,2.307692308
Kevin Shattenkirk,TB,D,73,2,0.02739726,26,0.356164384,28,0.383561644,-15,-0.205479452,20,0.273972603,148,2.02739726,0,1,0.01369863,6,0.082191781,7,0.095890411,0,0,0,0,73,1,104,1.424657534
Brad Richardson,ARI,C,66,19,0.287878788,8,0.121212121,27,0.409090909,6,0.090909091,22,0.333333333,128,1.939393939,3,0,0,0,0,0,0,3,0.045454545,3,0.045454545,63,0.954545455,55,0.833333333
Tanner Pearson,VAN,LW,80,18,0.225,9,0.1125,27,0.3375,-15,-0.1875,25,0.3125,147,1.8375,1,3,0.0375,2,0.025,5,0.0625,0,0,0,0,128,1.6,41,0.5125
Sam Bennett,CGY,LW,71,13,0.183098592,14,0.197183099,27,0.38028169,-6,-0.084507042,93,1.309859155,115,1.61971831,2,4,0.056338028,2,0.028169014,6,0.084507042,0,0,0,0,121,1.704225352,27,0.38028169
Colin Wilson,COL,LW,65,12,0.184615385,15,0.230769231,27,0.415384615,-6,-0.092307692,8,0.123076923,104,1.6,2,5,0.076923077,2,0.030769231,7,0.107692308,0,0,0,0,55,0.846153846,31,0.476923077
Alexander Steen,STL,LW,65,10,0.153846154,17,0.261538462,27,0.415384615,2,0.030769231,14,0.215384615,114,1.753846154,0,2,0.030769231,3,0.046153846,5,0.076923077,1,0.015384615,1,0.015384615,55,0.846153846,50,0.769230769
Mike Matheson,FLA,D,75,8,0.106666667,19,0.253333333,27,0.36,-24,-0.32,44,0.586666667,129,1.72,2,0,0,6,0.08,6,0.08,0,0,2,0.026666667,63,0.84,132,1.76
Jason Spezza,TOR,C,76,8,0.105263158,19,0.25,27,0.355263158,-13,-0.171052632,29,0.381578947,121,1.592105263,1,2,0.026315789,10,0.131578947,12,0.157894737,0,0,0,0,16,0.210526316,30,0.394736842
Nick Cousins,MON,C,81,7,0.086419753,20,0.24691358,27,0.333333333,-8,-0.098765432,35,0.432098765,144,1.777777778,2,1,0.012345679,2,0.024691358,3,0.037037037,0,0,0,0,115,1.419753086,51,0.62962963
William Nylander,TOR,C,54,7,0.12962963,20,0.37037037,27,0.5,-4,-0.074074074,16,0.296296296,130,2.407407407,0,1,0.018518519,5,0.092592593,6,0.111111111,0,0,0,0,16,0.296296296,14,0.259259259
Nikolay Goldobin,VAN,RW,63,7,0.111111111,20,0.317460317,27,0.428571429,-10,-0.158730159,18,0.285714286,105,1.666666667,1,1,0.015873016,8,0.126984127,9,0.142857143,0,0,1,0.015873016,15,0.238095238,21,0.333333333
Samuel Girard,COL,D,82,4,0.048780488,23,0.280487805,27,0.329268293,8,0.097560976,6,0.073170732,116,1.414634146,0,0,0,9,0.109756098,9,0.109756098,0,0,0,0,65,0.792682927,90,1.097560976
Alex Goligoski,ARI,D,76,3,0.039473684,24,0.315789474,27,0.355263158,-7,-0.092105263,16,0.210526316,102,1.342105263,0,1,0.013157895,6,0.078947368,7,0.092105263,0,0,2,0.026315789,79,1.039473684,154,2.026315789
